Key;vi
SKILL_090_Msg1;"%1 casts %2!"
SKILL_091_Name;"Life Drain"
SKILL_091_Desc;"Absorbs HP from an enemy."
SKILL_091_Msg1;"%1 casts %2!"
SKILL_092_Name;"Mana Drain"
SKILL_092_Desc;"Absorbs MP from an enemy."
SKILL_092_Msg1;"%1 casts %2!"
SKILL_099_Name;"Fire I"
SKILL_099_Desc;"Inflicts Fire-type damage on an enemy."
SKILL_099_Msg1;"%1 casts %2!"
SKILL_100_Name;"Fire II"
SKILL_100_Desc;"Inflicts Fire-type damage on an enemy."
SKILL_100_Msg1;"%1 casts %2!"
SKILL_101_Name;"Fire III"
SKILL_101_Desc;"Inflicts Fire-type damage on an enemy."
SKILL_101_Msg1;"%1 casts %2!"
SKILL_103_Name;"Flame I"
SKILL_103_Desc;"Inflicts Fire-type damage on all enemies."
SKILL_103_Msg1;"%1 casts %2!"
SKILL_104_Name;"Flame II"
SKILL_104_Desc;"Inflicts Fire-type damage on all enemies."
SKILL_104_Msg1;"%1 casts %2!"
SKILL_105_Name;"Flame III"
SKILL_105_Desc;"Inflicts Fire-type damage on all enemies."
SKILL_105_Msg1;"%1 casts %2!"
SKILL_107_Name;"Ice I"
SKILL_107_Desc;"Inflicts Ice-type damage on an enemy."
SKILL_107_Msg1;"%1 casts %2!"
SKILL_108_Name;"Ice II"
SKILL_108_Desc;"Inflicts Ice-type damage on an enemy."
SKILL_108_Msg1;"%1 casts %2!"
SKILL_109_Name;"Ice III"
SKILL_109_Desc;"Inflicts Ice-type damage on an enemy."
SKILL_109_Msg1;"%1 casts %2!"
SKILL_111_Name;"Blizzard I"
SKILL_111_Desc;"Inflicts Ice-type damage on all enemies."
SKILL_111_Msg1;"%1 casts %2!"
SKILL_112_Name;"Blizzard II"
SKILL_112_Desc;"Inflicts Ice-type damage on all enemies."
SKILL_112_Msg1;"%1 casts %2!"
SKILL_113_Name;"Blizzard III"
SKILL_113_Desc;"Inflicts Ice-type damage on all enemies."
SKILL_113_Msg1;"%1 casts %2!"
SKILL_115_Name;"Thunder I"
SKILL_115_Desc;"Inflicts Thunder-type damage on an enemy."
SKILL_115_Msg1;"%1 casts %2!"
SKILL_116_Name;"Thunder II"
SKILL_116_Desc;"Inflicts Thunder-type damage on an enemy."
SKILL_116_Msg1;"%1 casts %2!"
SKILL_117_Name;"Thunder III"
SKILL_117_Desc;"Inflicts Thunder-type damage on an enemy."
SKILL_117_Msg1;"%1 casts %2!"
SKILL_119_Name;"Spark I"
SKILL_119_Desc;"Inflicts Thunder-type damage on all enemies."
SKILL_119_Msg1;"%1 casts %2!"
SKILL_120_Name;"Spark II"
SKILL_120_Desc;"Inflicts Thunder-type damage on all enemies."
SKILL_120_Msg1;"%1 casts %2!"
SKILL_121_Name;"Spark III"
SKILL_121_Desc;"Inflicts Thunder-type damage on all enemies."
SKILL_121_Msg1;"%1 casts %2!"
SKILL_123_Name;"Water I"
SKILL_123_Desc;"Inflicts Water-type damage on an enemy."
SKILL_123_Msg1;"%1 casts %2!"
SKILL_124_Name;"Water II"
SKILL_124_Desc;"Inflicts Water-type damage on an enemy."
SKILL_124_Msg1;"%1 casts %2!"
SKILL_126_Name;"Wave I"
SKILL_126_Desc;"Inflicts Water-type damage on all enemies."
SKILL_126_Msg1;"%1 casts %2!"
SKILL_127_Name;"Wave II"
SKILL_127_Desc;"Inflicts Water-type damage on all enemies."
SKILL_127_Msg1;"%1 casts %2!"
SKILL_129_Name;"Stone I"
SKILL_129_Desc;"Inflicts Earth-type damage on an enemy."
SKILL_129_Msg1;"%1 casts %2!"
SKILL_130_Name;"Stone II"
SKILL_130_Desc;"Inflicts Earth-type damage on an enemy."
SKILL_130_Msg1;"%1 casts %2!"
SKILL_132_Name;"Quake I"
SKILL_132_Desc;"Inflicts Earth-type damage on all enemies."
SKILL_132_Msg1;"%1 casts %2!"
SKILL_133_Name;"Quake II"
SKILL_133_Desc;"Inflicts Earth-type damage on all enemies."
SKILL_133_Msg1;"%1 casts %2!"
SKILL_135_Name;"Wind I"
SKILL_135_Desc;"Inflicts Wind-type damage on an enemy."
SKILL_135_Msg1;"%1 casts %2!"
SKILL_136_Name;"Wind II"
SKILL_136_Desc;"Inflicts Wind-type damage on an enemy."
SKILL_136_Msg1;"%1 casts %2!"
SKILL_138_Name;"Tornado I"
SKILL_138_Desc;"Inflicts Wind-type damage on all enemies."
SKILL_138_Msg1;"%1 casts %2!"
SKILL_139_Name;"Tornado II"
SKILL_139_Desc;"Inflicts Wind-type damage on all enemies."
SKILL_139_Msg1;"%1 casts %2!"
SKILL_141_Name;"Saint I"
SKILL_141_Desc;"Inflicts Light-type damage on an enemy."
SKILL_141_Msg1;"%1 casts %2!"
SKILL_142_Name;"Saint II"
SKILL_142_Desc;"Inflicts Light-type damage on an enemy."
SKILL_142_Msg1;"%1 casts %2!"
SKILL_144_Name;"Starlight I"
SKILL_144_Desc;"Inflicts Light-type damage on all enemies."
SKILL_144_Msg1;"%1 casts %2!"
SKILL_145_Name;"Starlight II"
SKILL_145_Desc;"Inflicts Light-type damage on all enemies."
SKILL_145_Msg1;"%1 casts %2!"
SKILL_147_Name;"Shade I"
SKILL_147_Desc;"Inflicts Darkness-type damage on an enemy."
SKILL_147_Msg1;"%1 casts %2!"
SKILL_148_Name;"Shade II"
SKILL_148_Desc;"Inflicts Darkness-type damage on an enemy."
SKILL_148_Msg1;"%1 casts %2!"
SKILL_150_Name;"Darkness I"
SKILL_150_Desc;"Inflicts Darkness-type damage on all enemies."
SKILL_150_Msg1;"%1 casts %2!"
SKILL_151_Name;"Darkness II"
SKILL_151_Desc;"Inflicts Darkness-type damage on all enemies."
SKILL_151_Msg1;"%1 casts %2!"
SKILL_153_Name;"Burst I"
SKILL_153_Desc;"Inflicts damage on an enemy regardless of Defense."
SKILL_153_Msg1;"%1 casts %2!"
SKILL_154_Name;"Burst II"
SKILL_154_Desc;"Inflicts damage on an enemy regardless of Defense."
SKILL_154_Msg1;"%1 casts %2!"
SKILL_156_Name;"Nuke I"
SKILL_156_Desc;"Inflicts damage on all enemies regardless of Defense."
SKILL_156_Msg1;"%1 casts %2!"
SKILL_157_Name;"Nuke II"
SKILL_157_Desc;"Inflicts damage on all enemies regardless of Defense."
SKILL_157_Msg1;"%1 casts %2!"
SKILL_171_Name;"-----Swordsman Skills"
SKILL_172_Name;"Strong Attack"
SKILL_172_Desc;"Performs a powerful attack on an enemy."
SKILL_172_Msg1;"%1 does %2!"
SKILL_173_Name;"Slash"
SKILL_173_Desc;"Attacks all enemies."
SKILL_173_Msg1;"%1 mows down the enemy!"
SKILL_174_Name;"Dual Attack"
SKILL_174_Desc;"Performs an attack on an enemy twice."
SKILL_174_Msg1;"%1 dual attacks!"
SKILL_175_Name;"Willpower"
SKILL_175_Desc;"Rouses the user’s fighting spirit and increases
Attack. Usable up to 2 times in a row."
SKILL_175_Msg1;"%1 uses %2!"
SKILL_176_Name;"First Aid"
SKILL_176_Desc;"Restores an ally’s HP."
SKILL_176_Msg1;"%1 performs %2!"
SKILL_177_Name;"Maiden’s Stance"
SKILL_177_Desc;"Performs a super powerful attack on an enemy."
SKILL_177_Msg1;"%1 does %2!"
SKILL_178_Name;"Spin Crash"
SKILL_178_Desc;"Performs a powerful attack on all enemies."
SKILL_178_Msg1;"%1 mows down the enemy!"
SKILL_185_Name;"-----Priest & Sorcerer Skills"
SKILL_186_Name;"Magic Barrier"
SKILL_186_Desc;"Increases all allies’ Defense and M.Defense.
Usable up to 2 times in a row."
SKILL_186_Msg1;"%1 offered a prayer!"
SKILL_187_Name;"Spell Enhancement"
SKILL_187_Desc;"Greatly increases the user’s M.Attack for 5 turns."
SKILL_187_Msg1;"%1 casts %2!"
SKILL_188_Name;"Yell"
SKILL_188_Desc;"Rouses all allies’ fighting spirit and increases
Attack. Usable up to 2 times in a row."
SKILL_188_Msg1;"%1 gave encouragement!"
SKILL_189_Name;"Meteor"
SKILL_189_Desc;"Inflicts damage on all enemies regardless of Defense."
SKILL_189_Msg1;"%1 casts %2!"
SKILL_190_Name;"Fire Weapon"
SKILL_190_Desc;"Bestows Fire-type for 5 turns."
SKILL_190_Msg1;"%1 casts %2!"
SKILL_191_Name;"Ice Weapon"
SKILL_191_Desc;"Bestows Ice-type for 5 turns."
SKILL_191_Msg1;"%1 casts %2!"
SKILL_192_Name;"Thunder Weapon"
SKILL_192_Desc;"Bestows Thunder-type for 5 turns."
SKILL_192_Msg1;"%1 casts %2!"
SKILL_193_Name;"Magic Mirror"
SKILL_193_Desc;"Reflects M.Attack aimed at the user for 5 turns."
SKILL_193_Msg1;"%1 casts %2!"
SKILL_195_Name;"-----Knight Skills"
SKILL_196_Name;"Protect"
SKILL_196_Desc;"Automatically protects allies with low HP for 1 turn."
SKILL_196_Msg1;"%1 protects team."
SKILL_197_Name;"Falcon Thrust"
SKILL_197_Desc;"Performs an attack on an enemy faster than anyone
else."
SKILL_197_Msg1;"%1 does %2!"
SKILL_198_Name;"Double Thrust"
SKILL_198_Desc;"Performs an attack on an enemy twice."
SKILL_198_Msg1;"%1 does %2!"
SKILL_199_Name;"Armor Piercer"
SKILL_199_Desc;"Inflicts damage on all enemies regardless of Defense."
SKILL_199_Msg1;"%1 does %2!"
SKILL_200_Name;"Battle Cry"
SKILL_200_Desc;"Rouses all allies’ fighting spirit and increases
Attack. Usable up to 2 times in a row."
SKILL_200_Msg1;"%1 made a battle cry!"
SKILL_201_Name;"Windmill"
SKILL_201_Desc;"Attacks all enemies."
SKILL_201_Msg1;"%1 does %2!"
SKILL_202_Name;"Clear Mind"
SKILL_202_Desc;"Slightly increases the user’s TP."
SKILL_202_Msg1;"%1 cleared their mind!"
SKILL_203_Name;"Wild Thrust"
SKILL_203_Desc;"Randomly performs 4 attacks on 4 enemies."
SKILL_203_Msg1;"%1 does %2!"
SKILL_205_Name;"-----Bandit Skills"
SKILL_206_Name;"Eye Poke"
SKILL_206_Desc;"Blinds an enemy."
SKILL_206_Msg1;"%1 does %2!"
SKILL_207_Name;"Warm-up"
SKILL_207_Desc;"Increases the user’s Agility."
SKILL_207_Msg1;"%1 started %2!"
SKILL_208_Name;"Flare"
SKILL_208_Desc;"Blinds all enemies."
SKILL_208_Msg1;"%1 does %2!"
SKILL_209_Name;"Watchful Eye"
SKILL_209_Desc;"Increases items and money gained from battle for
a while."
SKILL_209_Msg1;"%1 is observing their surroundings carefully."
SKILL_210_Name;"Wind Call"
SKILL_210_Desc;"Inflicts Wind-type damage on all enemies."
SKILL_210_Msg1;"%1 does %2!"
SKILL_211_Name;"Hide"
SKILL_211_Desc;"Makes the user harder to target."
SKILL_211_Msg1;"%1 hid."
SKILL_215_Name;"-----Martial Artist Skills"
SKILL_216_Name;"Sweep"
SKILL_216_Desc;"Inflicts damage and causes all enemies to lose balance."
SKILL_216_Msg1;"%1 does %2!"
SKILL_217_Name;"Qigong"
SKILL_217_Desc;"Cures the user from being weakened."
SKILL_217_Msg1;"%1 uses %2!"
SKILL_218_Name;"Roundhouse Kick"
SKILL_218_Desc;"Inflicts huge damage on all enemies."
SKILL_218_Msg1;"%1 does %2!"
SKILL_219_Name;"Tiger Dance"
SKILL_219_Desc;"Inflicts damage on an enemy regardless of Defense."
SKILL_219_Msg1;"%1 does %2!"
SKILL_225_Name;"-----Hunter Skills"
SKILL_226_Name;"Point Shot"
SKILL_226_Desc;"Decreases an enemy’s Attack and Defense."
SKILL_226_Msg1;"%1 does %2!"
SKILL_227_Name;"Stun Shot"
SKILL_227_Desc;"Shoots at the footing of all enemies and causes them
to lose balance."
SKILL_227_Msg1;"%1 does %2!"
SKILL_228_Name;"Team Shot"
SKILL_228_Desc;"Inflicts damage on an enemy 5 times."
SKILL_228_Msg1;"%1 does %2!"
SKILL_229_Name;"Rain Shot"
SKILL_229_Desc;"Inflicts damage on all enemies 2 times."
SKILL_229_Msg1;"%1 does %2!"
SKILL_232_Name;"---Weapon Attacks---"
SKILL_233_Name;"Jump Attack"
SKILL_233_Desc;"Jump at enemy and attack mid-air"
SKILL_234_Name;"Flip Attack"
SKILL_234_Desc;"Do a forward flip and attack the enemy mid air"
SKILL_235_Name;"Dash Through"
SKILL_235_Desc;"Dash attack straight through an enemy"
SKILL_236_Name;"Dash Through All"
SKILL_236_Desc;"Dash attack through all enemies"
SKILL_237_Name;"High Jump"
SKILL_237_Desc;"Jump into the air then fall and attack enemy"
SKILL_238_Name;"Jump A. + Dash A."
SKILL_238_Desc;"Jump attack at enemy, then dash through"
SKILL_239_Name;"Flip A. + Dash A."
SKILL_239_Desc;"Do a forward flip atack, then dash through enemy"
SKILL_240_Name;"Dash Through x 2"
SKILL_240_Desc;"Dash attack through enemy twice"
SKILL_241_Name;"Teleport Attack"
SKILL_241_Desc;"Move forward and disappear, then do a flurry attack
through the enemy"
SKILL_242_Name;"Teleport Sneak Attack"
SKILL_242_Desc;"Disappear and reappear behind enemy, then dash attack
straight through"
SKILL_243_Name;"Teleport Attack All"
SKILL_243_Desc;"Move forward and disappear, then do a flurry attack
through all enemies"
SKILL_244_Name;"Animation Sneak Attack"
SKILL_244_Desc;"Disappear in a flash, then reappear in a flash behind 
and the enemy and dash straight through"
SKILL_248_Name;"---Unarmed/Gloves---"
SKILL_249_Name;"Tackle"
SKILL_249_Desc;"Ram into enemy, pushing them back"
SKILL_250_Name;"Flip Bounce"
SKILL_250_Desc;"Flip into enemy and bounce off of them"
SKILL_251_Name;"Flip Bounce + Tackle"
SKILL_251_Desc;"Flip into enemy and bounce off of them, then ram into
the enemy, pushing them back"
SKILL_252_Name;"Frontal Flip Bounce"
SKILL_252_Desc;"Flip into enemy, then bounch off the ground back to 
home"
SKILL_253_Name;"Penalty Kick"
SKILL_253_Desc;"Jump to enemy, charge up, then ram into them, knocking
them far backward"
SKILL_254_Name;"Flip Sneak Attack"
SKILL_254_Desc;"Flip backwards and disappear, then appear mid air and
bounce off the enemy"
SKILL_255_Name;"Flip Bounce All"
SKILL_255_Desc;"Flip into all enemies and bounce off of them"
SKILL_256_Name;"Dash Flip"
SKILL_256_Desc;"Flip forward past enemy and attack mid-air"
SKILL_257_Name;"Dash Flip All"
SKILL_257_Desc;"Flip forward past all enemies and attack them mid-air"
SKILL_261_Name;"---Magic Attacks---"
SKILL_262_Name;"Float Cast"
SKILL_262_Desc;"Float into air, then cast fire spell on enemy"
SKILL_263_Name;"Dash Cast"
SKILL_263_Desc;"Dash through enemy then cast damaging spell"
SKILL_264_Name;"Dash Cast All"
SKILL_264_Desc;"Dash through all enemies then cast damaging spell"
SKILL_265_Name;"Flip Cast"
SKILL_265_Desc;"Flip backwards, then cast spell mid-air"
SKILL_271_Name;"---Ranged Attacks---"
SKILL_272_Name;"Flip Shot"
SKILL_272_Desc;"Flip backwards, then attack mid-air"
SKILL_273_Name;"Dive Shot"
SKILL_273_Desc;"Dive over enemy and attack mid-air"
SKILL_281_Name;"---Projectile Attacks---"
SKILL_282_Name;"Projectile"
SKILL_282_Desc;"Fire animation projectile at enemy"
SKILL_283_Name;"Flip Projectile"
SKILL_283_Desc;"Flip backwards, then fire animation projectile at 
enemy mid-air"
SKILL_291_Name;"---Mechanics---"
SKILL_292_Name;"Flip Attack Sequential"
SKILL_292_Desc;"Flip attack all enemies, one by one."
SKILL_293_Name;"Elemental Slash"
SKILL_293_Desc;"Select from fire, ice, or thunder, then jump attack
with that element"
SKILL_294_Name;"Crisis Attack"
SKILL_294_Desc;"Hits twice and 100% crit rate when user is at less than 50% HP."
SKILL_295_Name;"Random Slash"
SKILL_295_Desc;"1/3 chance each to: attack one enemy, attack all enemies
or attack self"
SKILL_296_Name;"Input Attack"
SKILL_296_Desc;"5 seconds to press [OK] repeatedly to damage enemy"
SKILL_297_Name;"Nightmare"
SKILL_297_Desc;"If enemy is not asleep, add sleep state. If they are
asleep, damage enemy four times"
SKILL_298_Name;"Flare Sword"
SKILL_298_Desc;"If user has attack up buff, attack all enemies, otherwise
add attack up to user"
SKILL_299_Name;"Increment Blade"
SKILL_299_Desc;"Attacks one enemy, with increasing damage per use"
SKILL_300_Name;"Critical Smash"
SKILL_300_Desc;"Attack one enemy, but adds double defense debuff if it
is a critical hit"
SKILL_501_Name;"Dramatic Entry"
SKILL_501_Msg1;"%1 casts %2!"
STATE_001_Name;"Dead"
STATE_001_Msg1;"%1 has fallen!"
STATE_001_Msg2;"%1 is slain!"
STATE_001_Msg4;"%1 revives!"
STATE_002_Name;"Guard"
STATE_003_Name;"Immortal"
STATE_004_Name;"Poison"
STATE_004_Msg1;"%1 is poisoned!"
STATE_004_Msg2;"%1 is poisoned!"
STATE_004_Msg4;"%1 is no longer poisoned!"
STATE_005_Name;"Blind"
STATE_005_Msg1;"%1 is blinded!"
STATE_005_Msg2;"%1 is blinded!"
STATE_005_Msg4;"%1 is no longer blinded!"
STATE_006_Name;"Silence"
STATE_006_Msg1;"%1 is silenced!"
STATE_006_Msg2;"%1 is silenced!"
STATE_006_Msg4;"%1 is no longer silenced!"
STATE_007_Name;"Rage"
STATE_007_Msg1;"%1 is enraged!"
STATE_007_Msg2;"%1 is enraged!"
STATE_007_Msg4;"%1 is no longer enraged!"
STATE_008_Name;"Confusion"
STATE_008_Msg1;"%1 is confused!"
STATE_008_Msg2;"%1 is confused!"
STATE_008_Msg4;"%1 is no longer confused!"
STATE_009_Name;"Charm"
STATE_009_Msg1;"%1 is charmed!"
STATE_009_Msg2;"%1 is charmed!"
STATE_009_Msg4;"%1 is no longer charmed!"
STATE_010_Name;"Sleep"
STATE_010_Msg1;"%1 falls asleep!"
STATE_010_Msg2;"%1 falls asleep!"
STATE_010_Msg3;"%1 is sleeping."
STATE_010_Msg4;"%1 wakes up!"
STATE_012_Name;"Paralysis"
STATE_012_Msg1;"%1 is paralyzed and can’t move!"
STATE_012_Msg2;"%1 is paralyzed!"
STATE_012_Msg3;"%1 is paralyzed and can’t move!"
STATE_012_Msg4;"%1 is no longer paralyzed!"
STATE_013_Name;"Stun"
STATE_013_Msg1;"%1 lost balance!"
STATE_013_Msg2;"%1 lost balance!"
STATE_013_Msg3;"%1 is still off-balance..."
STATE_013_Msg4;"%1 has regained balance!"
STATE_015_Name;"HP Regeneration"
STATE_016_Name;"MP Regeneration"
STATE_017_Name;"TP Regeneration"
STATE_018_Name;"Magic Reflection"
STATE_019_Name;"Protect"
STATE_020_Name;"Provoke"
STATE_020_Msg1;"%1 became easier to hit!"
STATE_021_Name;"Hide"
STATE_021_Msg1;"%1 became harder to hit!"
STATE_022_Name;"Counter Attack"
STATE_023_Name;"Status Ailment Block"
STATE_024_Name;"Reduce MP Cost"
STATE_025_Name;"Fire Force"
STATE_025_Msg1;"%1 is now enveloped in an aura of fire."
STATE_025_Msg2;"%1 is now enveloped in an aura of fire."
STATE_026_Name;"Ice Force"
STATE_026_Msg1;"%1 is now enveloped in an icy aura."
STATE_026_Msg2;"%1 is now enveloped in an icy aura."
STATE_027_Name;"Thunder Force"
STATE_027_Msg1;"%1 is now enveloped in a thunderous aura."
STATE_027_Msg2;"%1 is now enveloped in a thunderous aura."
STATE_029_Name;"Half Encounters"
STATE_030_Name;"Double Money/Items"
CLASS_001_Name;"Swordsman"
CLASS_002_Name;"Sorcerer"
CLASS_003_Name;"Priest"
CLASS_004_Name;"Knight"
CLASS_005_Name;"Martial Artist"
CLASS_006_Name;"Magic Swordsman"
CLASS_007_Name;"Hunter"
CLASS_008_Name;"Bandit"
CLASS_009_Name;"--------"
CLASS_010_Name;"{classStudent}"
ENEMY_001_Name;"Goblin"
ENEMY_002_Name;"Gnome"
ENEMY_003_Name;"Crow"
ENEMY_004_Name;"Treant"
ENEMY_005_Name;"Hi_monster"
ENEMY_006_Name;"Test"
ENEMY_007_Name;"Ga"
ENEMY_008_Name;"Voi"
ENEMY_009_Name;"Ngua"
SYS_Basic_0;"Level"
SYS_Basic_1;"Lv"
SYS_Basic_2;"HP"
SYS_Basic_3;"HP"
SYS_Basic_4;"MP"
SYS_Basic_5;"MP"
SYS_Basic_6;"TP"
SYS_Basic_7;"TP"
SYS_Basic_8;"EXP"
SYS_Basic_9;"EXP"
SYS_Cmd_0;"Fight"
SYS_Cmd_1;"Escape"
SYS_Cmd_2;"Attack"
SYS_Cmd_3;"Guard"
SYS_Cmd_4;"Item"
SYS_Cmd_5;"{skill}"
SYS_Cmd_6;"Equip"
SYS_Cmd_7;"Status"
SYS_Cmd_8;"Formation"
SYS_Cmd_9;"Save"
SYS_Cmd_10;"Game End"
SYS_Cmd_11;"Options"
SYS_Cmd_12;"Weapon"
SYS_Cmd_13;"Armor"
SYS_Cmd_14;"Key Item"
SYS_Cmd_15;"Equip"
SYS_Cmd_16;"Optimize"
SYS_Cmd_17;"Clear"
SYS_Cmd_18;"{cmd_start}"
SYS_Cmd_19;"{cmd_continue}"
SYS_Cmd_21;"To Title"
SYS_Cmd_22;"Cancel"
SYS_Cmd_24;"Buy"
SYS_Cmd_25;"Sell"
SYS_Param_0;"Max HP"
SYS_Param_1;"Max MP"
SYS_Param_2;"Attack"
SYS_Param_3;"Defense"
SYS_Param_4;"M.Attack"
SYS_Param_5;"M.Defense"
SYS_Param_6;"Agility"
SYS_Param_7;"Luck"
SYS_Param_8;"Hit"
SYS_Param_9;"Evasion"
SYS_Msg_alwaysDash;"Always Dash"
SYS_Msg_commandRemember;"Command Remember"
SYS_Msg_touchUI;"Touch UI"
SYS_Msg_bgmVolume;"BGM Volume"
SYS_Msg_bgsVolume;"BGS Volume"
SYS_Msg_meVolume;"ME Volume"
SYS_Msg_seVolume;"SE Volume"
SYS_Msg_possession;"Possession"
SYS_Msg_expTotal;"Current %1"
SYS_Msg_expNext;"To Next %1"
SYS_Msg_saveMessage;"Which file would you like to save to?"
SYS_Msg_loadMessage;"Which file would you like to load?"
SYS_Msg_file;"File"
SYS_Msg_autosave;"Autosave"
SYS_Msg_partyName;"%1’s Party"
SYS_Msg_emerge;"%1 emerged!"
SYS_Msg_preemptive;"%1 got the upper hand!"
SYS_Msg_surprise;"%1 was surprised!"
SYS_Msg_escapeStart;"%1 has started to escape!"
SYS_Msg_escapeFailure;"However, it was unable to escape!"
SYS_Msg_victory;"%1 was victorious!"
SYS_Msg_defeat;"%1 was defeated."
SYS_Msg_obtainExp;"%1 %2 received!"
SYS_Msg_obtainGold;"%1\G found!"
SYS_Msg_obtainItem;"%1 found!"
SYS_Msg_levelUp;"%1 is now %2 %3!"
SYS_Msg_obtainSkill;"%1 learned!"
SYS_Msg_useItem;"%1 uses %2!"
SYS_Msg_criticalToEnemy;"An excellent hit!!"
SYS_Msg_criticalToActor;"A painful blow!!"
SYS_Msg_actorDamage;"%1 took %2 damage!"
SYS_Msg_actorRecovery;"%1 recovered %2 %3!"
SYS_Msg_actorGain;"%1 gained %2 %3!"
SYS_Msg_actorLoss;"%1 lost %2 %3!"
SYS_Msg_actorDrain;"%1 was drained of %2 %3!"
SYS_Msg_actorNoDamage;"%1 took no damage!"
SYS_Msg_actorNoHit;"Miss! %1 took no damage!"
SYS_Msg_enemyDamage;"%1 took %2 damage!"
SYS_Msg_enemyRecovery;"%1 recovered %2 %3!"
SYS_Msg_enemyGain;"%1 gained %2 %3!"
SYS_Msg_enemyLoss;"%1 lost %2 %3!"
SYS_Msg_enemyDrain;"%1 was drained of %2 %3!"
SYS_Msg_enemyNoDamage;"%1 took no damage!"
SYS_Msg_enemyNoHit;"Miss! %1 took no damage!"
SYS_Msg_evasion;"%1 evaded the attack!"
SYS_Msg_magicEvasion;"%1 nullified the magic!"
SYS_Msg_magicReflection;"%1 reflected the magic!"
SYS_Msg_counterAttack;"%1 made a counterattack!"
SYS_Msg_substitute;"%1 protected %2!"
SYS_Msg_buffAdd;"%1’s %2 went up!"
SYS_Msg_debuffAdd;"%1’s %2 went down!"
SYS_Msg_buffRemove;"%1’s %2 returned to normal!"
SYS_Msg_actionFailure;"There was no effect on %1!"
SYS_Currency;"Đồng"
